Tool,Link,Installation commands,Group,Contributors
,,,,
,https://github.com/fridaruh/abtesting_prompting,,prompt,
,https://github.com/aws-samples/amazon-bedrock-serverless-prompt-chaining,,prompt,
dapp-scratch,https://github.com/okwme/dapp-scratch.git,,sol,
ape,https://github.com/ApeWorX/ape.git,,sol,
Brownie,https://github.com/eth-brownie/brownie.git,,sol,
slither,https://github.com/crytic/slither.git,,sol,
solidity-coverage,https://github.com/sc-forks/solidity-coverage.git,,sol,
foundry,https://github.com/foundry-rs/foundry.git,,sol,
Mythril,https://github.com/Consensys/mythril,,sol,
,,,,
,,,,
,,,,
,https://github.com/psf/black.git,,Python,
Code-chunker,https://github.com/CintraAI/code-chunker.git,,,
Promptflow,https://github.com/microsoft/promptflow,,,
HTMLawed,https://github.com/kesar/HTMLawed.git,,html,
htmlpurifier,https://github.com/ezyang/htmlpurifier.git,,html,
Aether,https://github.com/codecombat/aether.git,,JavaScript,
Closure Compiler,https://github.com/google/closure-linter.git,,JavaScript,
Complexity-report,https://github.com/escomplex/complexity-report.git,,JavaScript,
DeepScan,https://github.com/deepscan/atom-deepscan.git,,JavaScript,
Es6-plato,https://github.com/the-simian/es6-plato.git,,JavaScript,
Escomplex,https://github.com/escomplex/escomplex.git,,JavaScript,
Esprima,https://github.com/jquery/esprima.git,,JavaScript,
Flow,https://github.com/facebook/flow.git,,JavaScript,
Hegel,https://github.com/JSMonk/hegel.git,,JavaScript,
JSHint,https://github.com/jshint/jshint.git,,JavaScript,
JSlint,https://github.com/jslint-org/jslint.git,,JavaScript,
JSprime,https://github.com/dpnishant/jsprime.git,,JavaScript,
NodeJSscan,https://ajinabraham.github.io/nodejsscan/.git,,JavaScript,
Plato,https://github.com/es-analysis/plato.git,,JavaScript,
Polymer Analyzer,https://github.com/Polymer/tools/tree/master/packages/analyzer.git,,JavaScript,
retire.js,https://github.com/RetireJS/retire.js.git,,JavaScript,
RSLint,https://github.com/rslint/rslint.git,,JavaScript,
StandardJS,https://github.com/standard/standard.git,,JavaScript,
Tern,https://github.com/ternjs/tern.git,,JavaScript,
TypL,https://github.com/getify/TypL.git,,JavaScript,
XO,https://github.com/xojs/xo.git,,JavaScript,
Yardstick,https://github.com/calmh/yardstick.git,,JavaScript,
JSONlint,https://github.com/Seldaek/jsonlint.git,,JSON,
Aider,https://github.com/paul-gauthier/aider.git,,llm,
Ollama,https://github.com/ollama/ollama.git,,llm,
,https://github.com/jxddk/prettier-plugin-nginx.git,,nginx,
Perl Critic,https://github.com/Perl-Critic/Perl-Critic.git,,Perl,
Alien-Astyle,https://github.com/wbraswell/alien-astyle.git,,Perl,
Perl-Analyzer,https://github.com/technix/Perl-Analyzer.git,,Perl,
Perltidy,https://github.com/perltidy/perltidy.git,,Perl,
Zarn,https://github.com/htrgouvea/zarn.git,,Perl,
arkitect,https://github.com/phparkitect/arkitect.git,,php,
CakeFuzzer,https://github.com/Zigrin-Security/CakeFuzzer.git,,php,
churn-php,https://github.com/bmitch/churn-php.git,,php,
cognitive-complexity,https://github.com/TomasVotruba/cognitive-complexity.git,,php,
